colour	x	y	group	showSelectedlegendcolour
#66C2A5	-1	1.04098993383087	1	train
#66C2A5	-0.5	1.04100269432228	1	train
#66C2A5	0	1.04110997801657	1	train
#66C2A5	0.5	1.04205633399299	1	train
#66C2A5	1	1.04946224391546	1	train
#66C2A5	1.5	1.08835824150099	1	train
#66C2A5	2	1.18190327705615	1	train
#66C2A5	2.5	1.27241398723452	1	train
#66C2A5	3	1.31838048235869	1	train
#66C2A5	3.5	1.3355917160896	1	train
#66C2A5	4	1.34134639952276	1	train
#FC8D62	-1	1.26307863288885	2	validation
#FC8D62	-0.5	1.26366424903284	2	validation
#FC8D62	0	1.26548831661933	2	validation
#FC8D62	0.5	1.27119016404354	2	validation
#FC8D62	1	1.28851485600117	2	validation
#FC8D62	1.5	1.33337263540499	2	validation
#FC8D62	2	1.40704607151289	2	validation
#FC8D62	2.5	1.46945359800088	2	validation
#FC8D62	3	1.50027023785915	2	validation
#FC8D62	3.5	1.51176268962026	2	validation
#FC8D62	4	1.51560331881378	2	validation
